#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
60.9 24.9673 10.2995 2.77953 232.029
61 3.6566e-13 7.24538 3.49919e-14 235.084
61.1 155.033 10.2995 177.22 232.029
61.2 143.974 19.1631 174.602 223.166
61.3 141.945 32.9684 172.315 209.361
61.4 144.169 50.364 170.546 191.965
61.5 148.498 69.6473 169.503 172.682
61.6 153.957 88.9306 169.401 153.398
61.7 160.06 106.326 170.43 136.003
61.8 166.536 120.132 172.676 122.198
61.9 173.221 128.995 176.009 113.334
62 180 132.049 180 110.28
62.1 6.77865 128.995 3.99126 113.334
62.2 13.4637 120.132 7.32361 122.198
62.3 19.9403 106.326 9.56974 136.003
62.4 26.0431 88.9306 10.5991 153.398
62.5 31.5023 69.6473 10.4974 172.682
62.6 35.8309 50.364 9.45407 191.965
62.7 38.0555 32.9684 7.68536 209.361
62.8 36.0258 19.1631 5.39809 223.166
62.9 24.9673 10.2995 2.77953 232.029
63 180 7.24538 180 235.084
63.1 155.033 10.2995 177.22 232.029
63.2 143.974 19.1631 174.602 223.166
63.3 141.945 32.9684 172.315 209.361
63.4 144.169 50.364 170.546 191.965
63.5 148.498 69.6473 169.503 172.682
63.6 153.957 88.9306 169.401 153.398
63.7 160.06 106.326 170.43 136.003
63.8 166.536 120.132 172.676 122.198
63.9 173.221 128.995 176.009 113.334
64 180 132.049 180 110.28
64.1 6.77865 128.995 3.99126 113.334
64.2 13.4637 120.132 7.32361 122.198
