Energy CM (MeV)	Angle CM (deg)
181.0002	161.2124
0.9884	140.4523
0.9169	155.3849
3.8087	57.9750
1.0966	126.5981
11.5557	114.1012
8.8914	167.2630
0.8946	163.0670
1.5155	98.9160
564.5210	158.4089
1.6124	21.8400
0.9551	146.3847
334.1885	5.8351
0.9103	157.3557
1.0875	127.5595
0.7116	125.9243
0.9476	147.9170
4.4702	123.8264
3096919.7784	0.1898
3096919.7784	0.1898
0.0254	136.9238
1.1464	121.7956
0.8539	140.7090
2.9109	68.3836
2.9109	68.3836
0.8894	165.5093
0.5529	156.9757
0.1202	149.9824
1.7439	90.2132
61.8243	157.0568
46.9780	93.4582
1.0045	137.9488
0.9081	158.0605
177.9731	153.2286
0.3115	61.2192
0.9605	145.3244
55.5559	20.1187
1388.8077	158.8530
6.8470	165.6297
0.8965	162.2947
9.3519	141.0304
0.1724	131.6073
1.0390	133.2184
1.1268	123.6016
0.9645	144.5685
0.8072	140.2960
2.1565	59.4846
0.9104	157.3324
4.8420	78.1459
322.2412	10.1899
0.1314	138.0406
2562.1772	27.3302
0.8915	164.4596
3.1240	68.3290
0.8919	164.2784
1.2026	117.0987
0.9142	156.1826
70.6780	16.8720
0.9646	144.5554
1.1456	121.8655
0.7302	152.0449
0.7302	152.0449
113.3672	151.1206
1.8227	157.4184
1.8227	157.4184
186.3436	149.6433
0.9177	155.1659
13.0533	30.0081
12.7537	30.3672
1.0252	135.0272
1.2584	113.0174
0.1800	89.7968
0.9078	158.1775
12.5362	132.3044
4.0025	166.5060
0.9193	154.7055
0.9382	149.9638
4757.5423	141.4136
316.9068	9.6634
1.0426	132.7658
0.8483	133.8553
59.3932	13.9310
0.9961	139.2343
0.0571	145.6376
37.1523	135.9372
14.3540	28.9191
0.9264	152.8271
1.3646	106.4241
0.4201	149.4532
0.9069	158.4607
0.8415	74.3336
0.9649	144.5121
1.1074	125.5040
1.2985	110.3686
0.0926	128.0295
2.2536	146.2055
2.1715	115.9639
0.9154	155.8312
1.0478	132.1094
0.9924	139.7999
1.1489	121.5716
12.0953	46.1371
1.3638	106.4681
0.2860	44.0390
6.1546	158.5500
4397.6573	165.8073
2.6345	57.7792
28.4950	157.8332
0.0889	30.5156
1.0034	138.1131
496.3009	143.9899
0.9979	138.9537
1.2972	110.4522
165557.7701	0.5112
1.0454	132.4100
1.0838	127.9550
22.2578	162.5508
0.2134	160.9766
1.8051	88.2635
0.9251	153.1390
0.7707	157.3838
0.9086	157.9187
23.6561	10.4231
