bin_733    22.8837 89.6174 351
bin_734    -31.9983 85.8622 1468
bin_735    -25.2283 92.6321 1558
bin_736    -21.9413 97.3059 1693
bin_737    -18.4582 99.4015 1684
bin_738    24.9316 86.1575 320
bin_739    18.1615 86.1575 318
bin_740    -15.1712 104.075 1807
bin_741    -11.6886 106.172 1798
bin_742    24.9321 79.3879 294
bin_743    76.9956 55.7912 231
bin_744    22.9864 82.73 319
bin_745    72.3218 59.0781 230
bin_746    36.375 62.5608 245
bin_747    22.9934 62.719 241
bin_748    24.9313 65.8478 242
bin_749    18.162 79.3879 292
bin_750    24.9321 72.6179 268
bin_751    22.8358 69.3309 267
bin_752    18.1421 73.1056 266
bin_753    29.6061 109.95 481
bin_754    22.4807 75.4561 293
bin_755    29.4056 69.2884 269
bin_756    38.5036 65.8049 246
bin_757    36.3758 69.3309 271
bin_758    45.2413 65.8478 248
bin_759    52.0113 65.8478 250
bin_760    58.7814 65.8478 252
bin_761    31.7015 106.467 444
bin_762    65.5513 65.8478 254
bin_763    72.3213 65.8478 256
bin_764    79.0913 65.8478 258
bin_765    85.8613 65.8478 260
bin_766    92.6313 65.8478 378
bin_767    99.4013 65.8478 424
bin_768    97.3058 69.3309 426
bin_769    90.5358 69.3309 381
bin_770    29.6053 103.18 443
bin_771    83.7658 69.3309 285
bin_772    43.1458 69.3309 273
bin_773    31.702 99.6977 402
bin_774    49.9158 69.3309 275
bin_775    56.6858 69.3309 277
bin_776    63.4558 69.3309 279
bin_777    70.2258 69.3309 281
bin_778    109.95 -36.3765 1964
bin_779    85.862 72.6179 286
bin_780    79.092 72.6179 284
bin_781    29.6058 96.4107 401
bin_782    72.322 72.6179 282
bin_783    31.702 92.9277 356
bin_784    65.5521 72.6179 280
bin_785    58.782 72.6179 278
